acousticness,danceability,energy,speechiness,valence,BPM,song_title,artists,artists_url,date_added,album_cover,popularity,url,date_added_year
0.645,0.586,0.499,0.049,0.272,149.79,Back To U,"SLANDER,William Black","20DZAfCuP1TKZl5KcY7z3Q,7d5SfGXKpgS3JK8BFIq59h",2021-09-26,https://i.scdn.co/image/ab67616d0000b273df34234cbad3fca10cda133e,65,19m23w2ANVhtB7rApM6pbN,2021
0.0265,0.49,0.828,0.0379,0.31,170.049,Broken,"William Black,Fairlane","7d5SfGXKpgS3JK8BFIq59h,3L7JnVovGbYSUmRyqhXMYO",2021-09-26,https://i.scdn.co/image/ab67616d0000b273bd9ef3ff086d05e45f0d2775,53,1PA8t7QlRzSpUOZIlLLi6U,2021
0.0176,0.689,0.841,0.0862,0.541,130.049,Rock The House,Afrojack,4D75GcNG95ebPtNvoNVXhz,2021-09-25,https://i.scdn.co/image/ab67616d0000b273f5e97d466df9acfc7048c15b,43,3J57KX2pdbNW4SWoV1QYwR,2021
0.0196,0.571,0.752,0.0293,0.25,102.043,Better With You,"3LAU,Justin Caruso,Iselin","4YLQaW1UU3mrVetC8gNkg5,1NyxTiCivDmzgFWYD1V01m,3rjHIPFed2qITXAWvArRtp",2021-09-21,https://i.scdn.co/image/ab67616d0000b2732ce1add2b44ddd0a09399d3d,61,3D37T7euWvVJ45evRmriIh,2021
0.877,0.422,0.34,0.0351,0.223,77.213,I GUESS I'M IN LOVE,Clinton Kane,7okSU80WTrn4LXlyXYbX3P,2021-09-21,https://i.scdn.co/image/ab67616d0000b2734ff62d5125efd086e3c23dfb,87,1is8gU4RVcN4J8xItxWoOY,2021
0.0498,0.623,0.888,0.0398,0.428,125.999,Okay - Afrojack Remix,"Nicky Romero,MARF,Wulf,Afrojack","5ChF3i92IPZHduM7jN3dpg,6y1eDna5tYFgcvKyGhLCy7,134sCDSe1w2zPnfCG4hT0f,4D75GcNG95ebPtNvoNVXhz",2021-09-18,https://i.scdn.co/image/ab67616d0000b2735c6649fac876d0f000662211,42,2pydaff4kf72kKv6X9bpYX,2021
0.0523,0.392,0.737,0.0857,0.402,139.956,Blame Myself,"ILLENIUM,Tori Kelly","45eNHdiiabvmbp4erw26rg,1vSN1fsvrzpbttOYGsliDr",2021-09-17,https://i.scdn.co/image/ab67616d0000b273700ed221054220bb30eb2d96,63,1suqXPrYygZ7BYiSfaVZE4,2021
0.0463,0.513,0.836,0.0579,0.304,124.964,Okay,"Nicky Romero,MARF,Wulf","5ChF3i92IPZHduM7jN3dpg,6y1eDna5tYFgcvKyGhLCy7,134sCDSe1w2zPnfCG4hT0f",2021-09-16,https://i.scdn.co/image/ab67616d0000b273dd4a029e12c38ffdf81e2c67,66,71H8k9qe7DersxR6KyhUnI,2021
0.0126,0.523,0.829,0.0494,0.318,128.064,Breathe Again (feat. Robbie Rosen),"Blasterjaxx,Blackcode,Robbie Rosen","37awA8DFCAnCCL7aqYbDnD,2O0GPxVfZuYNQP0V6mJ3FL,1569hvm0IW3DHOfruYP2lM",2021-09-16,https://i.scdn.co/image/ab67616d0000b2732f209fb830f2fac6f18fccd5,43,0XXhVOj4U6YYaXQp4uswGT,2021
0.185,0.601,0.741,0.0478,0.441,153.96,Ghost,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2021-09-15,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,93,6I3mqTwhRpn34SLVafSH7G,2021
